date_time,currency_symbol,source_chain_name,destination_chain_name,amount,entity_identifier,bridge
2024-07-05 07:30:59+00:00,BNB,Linea,Base,61.737951013633065,0x328d8c40d596220446eae5b5bec134a1ff247c53ea451ccff4cefd39f4f60d42,
2024-07-05 07:40:38+00:00,BNB,Solana,Arbitrum,43.339604209195706,0x94ecbf840c2a053e2c3fdca3796a757e48e852f2a25849d5f8762b873ea74a8b,
2024-07-05 07:41:41+00:00,BNB,Linea,BNB Chain,309.4154054599233,0x0fa2eabf7160e81d09cba6943429d7b0a765bc74e5266a848060bcd1a564681e,
2024-07-05 07:43:17+00:00,BNB,Solana,Optimism,43.28427567614874,0x91b62472ebc5a36ce1081fae3ea7f96467d38730b00aaf57cd02fd66f27ef8d3,
2024-07-05 07:43:35+00:00,BNB,Optimism,Arbitrum,247.73480472619005,0xc23ab0e81427f1eab2be95f90debb904c63fd45f266f3786efa318787b6aee04,
2024-07-05 07:46:48+00:00,BNB,Arbitrum,Polygon,43.26115158268436,0xc48e80d7aace049253d9671d1ce6119eac0c86072315611de734f8b592e0e735,
2024-07-05 07:49:44+00:00,BNB,Arbitrum,BNB Chain,330.20005258441046,0x55d783cf7c38bb762487952926ec3de03587d39706b536cd89d5169069f6ff7f,
2024-07-05 07:50:55+00:00,BNB,Solana,Base,40.9189210823633,0x8d693c7b9e96b4798443434a1fc4e1fb1c43d19a1bdfc058d006a5592fef36e2,
2024-07-05 07:51:33+00:00,WETH,Arbitrum,Solana,3.0637786168192003,0x27868e48797c87a578e08a38386dd4b8d88067396ccdf867ac7620d139c69e87,
2024-07-05 07:52:08+00:00,WETH,Arbitrum,Ethereum,4.90204578691072,0x57064f1e874d059f84c2db110c1455ac4073f4eab89e85dea761e51a21970044,
2024-07-05 07:52:21+00:00,WETH,Arbitrum,Polygon,4.44247899438784,0x0ab3151c0bc37a7359eea545e1d347739baf1662fada8fb24c362c9d02fdc221,
2024-07-05 07:52:23+00:00,BNB,Solana,Base,101.18669213846351,0xe5d832c0082806e6e49907346d88ce5994cdfe1d068d5d1c5e5eda11830f98e9,
2024-07-05 07:52:35+00:00,WETH,Arbitrum,Solana,5.20842364859264,0x2c82e2faf44ea925f79072261357771de433ab577847b7cc540ad2ea4ab6dac1,
2024-07-05 07:52:48+00:00,WETH,Arbitrum,Solana,5.20842364859264,0x8f13e18da2095505a7cf0e23ff6a3e663b4ad8f3aac4b07a53d2a0b221b69fa6,
2024-07-05 07:52:53+00:00,BNB,Base,BNB Chain,104.12615492915268,0x6222f966387c435cdeff235f19b693be74151501c73592c4a0aaea9ff0ed9091,
2024-07-05 07:53:12+00:00,WETH,Arbitrum,Solana,6.127471504848542,0x99439976e91a2090f609eaee2450338743d9cdd70c2f5790e71863f73b71d8a3,
2024-07-05 07:53:54+00:00,WETH,Arbitrum,Ethereum,6.1275572336384005,0x65ef6911c6ea69e4038d495bc9deb8aa627482cf1608007a4e9bcae3f8e2f202,
2024-07-05 07:54:29+00:00,WETH,Arbitrum,Ethereum,6.498274446273524,0x5456b0db3633b3073d4693190436258cfbe023a1ece5c75ef37294be0fa7ed37,
2024-07-05 07:54:40+00:00,WETH,Arbitrum,Solana,3.982912201864961,0x0b5fc471bdf75f1d659b17b1ca1f1b8a2f91942b83cb25a936bd1c4b3e0d4e90,
2024-07-05 07:54:49+00:00,WETH,Arbitrum,Solana,4.044187774201344,0xf1cfd268c7fda191908ab518164c6c7dc7f3e61d88785751d20702758d1e12ce,
